WBSEGMENT,BURPID,BURP Stream Name,SMI,SFI,SHI,WBAG 2 Score,SMI2,SFI2,SHI2,WBAG 3 Score
ID17040215SK020_02,2003SIDFA054,Warm Springs Creek,39.01626,0.026752,42,0,,,,
ID17040215SK018_02,2003SIDFA055,Deep Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040215SK017_02,2003SIDFA056,Webber Creek,64.19191,81.66666,61,2.67,,,,
ID17040215SK014_02,2003SIDFA057,Divide Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040215SK016_02,2003SIDFA058,North Fork Fritz Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040215SK016_02,2003SIDFA059,South Fork Fritz Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040215SK016_02,2003SIDFA060,Fritz Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040215SK015_02,2003SIDFA061,Horse Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040215SK012_02,2003SIDFA062,"Bull Pen, The",56.49449,31.85979,58,0,54,100,58,2.33
ID17040215SK012_03,2003SIDFA063,Irving Creek,59.80137,73.33334,58,2.33,51,100,58,2
ID17040215SK010_02,2003SIDFA064,Edie Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK023_02,2003SIDFA065,Pleasant Valley Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK023_02,2003SIDFA066,White Pine Canyon,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK023_02,2003SIDFA067,Kite Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK023_02,2003SIDFA068,Pleasant Valley Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK023_02,2003SIDFA069,Brooks Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK023_02,2003SIDFA070,Ramshorn Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK018_02,2003SIDFA071,Picnic Hollow Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK018_02,2003SIDFA072,Stoddard Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK018_02,2003SIDFA073,Van Noy Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK018_02,2003SIDFA074,Dairy Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK019_03,2003SIDFA075,Miners Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK019_02,2003SIDFA076,Meadow Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK020_02,2003SIDFA077,Sheep Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK013_02,2003SIDFA078,West Camas Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK013_02,2003SIDFA079,Pete Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK013_03,2003SIDFA080,West Camas Creek,73.4775,39.55771,64,2,49,28,65,1.33
ID17040214SK021_02,2003SIDFA081,West Modoc Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK021_02,2003SIDFA082,Middle Modoc Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK021_02,2003SIDFA083,East Modoc Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK021_02,2003SIDFA084,Modoc Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK021_02,2003SIDFA085,Horse Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK021_02,2003SIDFA086,Long Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK014_05,2003SIDFA087,Beaver Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK017_02,2003SIDFA088,West Threemile Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK017_02,2003SIDFA089,East Threemile Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK016_02,2003SIDFA090,West Fork Rattlesnake Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK017_02,2003SIDFA091,Middle Threemile Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK016_03,2003SIDFA092,Rattlesnake Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK016_02,2003SIDFA093,Corral Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK016_02,2003SIDFA094,Spring Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK006_03,2003SIDFA095,Ching Creek,66.1811,42.44048,54,1.67,78,70,54,2.33
ID17040214SK006_02,2003SIDFA096,Little Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK006_02,2003SIDFA097,Trail Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040214SK006_02,2003SIDFA098,Pasture Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK008_02,2003SIDFA099,Crooked Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK008_03,2003SIDFA100,Crab Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK014_05,2003SIDFA101,Beaver Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040214SK001_06,2003SIDFA102,Camas Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK005_02,2003SIDFA103,Mahogany Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK009_02,2003SIDFA104,Willow Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK011_03,2003SIDFA105,Mud Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK011_03,2003SIDFA106,Mud Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK009_02,2003SIDFA107,Willow Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK007_03,2003SIDFA108,Birch Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040216SK013_02,2003SIDFA109,Meadow Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK020_03,2003SIDFA110,Willow Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK020_03,2003SIDFA111,Willow Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK022_03,2003SIDFA112,Sage Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK022_03,2003SIDFA113,Sage Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK024_05,2003SIDFA114,Big Lost River,63.32871,NULL,71,3,71,NULL,71,3
ID17040218SK026_03,2003SIDFA115,Twin Bridges Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK031_02,2003SIDFA116,Wildhorse Creek,85.19083,78.51292,66,2.67,71,73,66,2.33
ID17040218SK030_04,2003SIDFA117,Wildhorse Creek,75.02643,43.29262,62,2,67,52,62,1.33
ID17040218SK033_04,2003SIDFA118,East Fork Big Lost River,74.39598,NULL,61,2.5,54,NULL,61,1.5
ID17040218SK033_04,2003SIDFA119,East Fork Big Lost River,68.42325,NULL,60,2.5,70,NULL,60,2.5
ID17040218SK049_04,2003SIDFA120,Cherry Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040218SK059_03,2003SIDFA121,Spring Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040218SK037_02,2003SIDFA122,Muldoon Creek,52.52119,76.98519,70,2.33,50,100,70,2.33
ID17040218SK036_02,2003SIDFA123,Star Hope Creek,NULL,NULL,10,1,NULL,NULL,,
ID17040218SK035_04,2003SIDFA124,Star Hope Creek,64.82379,NULL,61,2.5,64,NULL,61,2.5
ID17060201SL028_03,2003SIDFA125,Thompson Creek,NULL,NULL,10,1,NULL,NULL,,
ID17060201SL020_02,2003SIDFA126,Kinnikinic Creek,76.66687,85.22192,70,3,67,66,70,1.67
ID17060201SL124_04,2003SIDFA127,Road Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060206SL044_02,2003SIDFA128,Hoodoo Creek,78.86179,97.46706,81,3,71,72,81,2.67
ID17060202SL022_02,2003SIDFA129,East Fork Pahsimeroi River,64.79303,83.20358,61,3,,,,
ID17060101SL028_02,2003SLEWA001,Divide Creek,31.75798,NULL,73,0,,,,
ID17060101SL028_03,2003SLEWA002,Divide Creek,62.02228,76.73097,80,2.67,,,,
ID17060101SL028_03,2003SLEWA003,Divide Creek,38.74892,59.75028,69,1.67,51,100,69,2.33
ID17060209SL015_02,2003SLEWA004,West Fork Race Creek,66.30987,78.59606,72,2.67,71,100,72,3
ID17060209SL015_03,2003SLEWA005,West Fork Race Creek,46.28369,88.5,67,2.67,,,,
ID17060209SL010_03,2003SLEWA006,Deer Creek,53.75392,71,65,2.67,,,,
ID17060209SL012_03,2003SLEWA007,China Creek,56.6209,90,73,3,,,,
ID17060209SL014_03,2003SLEWA008,Race Creek,59.53286,83.75,82,3,53,100,82,2.67
ID17060209SL058_02,2003SLEWA009,Grave Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060209SL058_03,2003SLEWA010,Grave Creek,53.92442,63.07093,66,2.33,,,,
ID17060209SL057_03,2003SLEWA011,Rock Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060209SL056_04,2003SLEWA012,Rock Creek,55.83977,62.06411,60,2.33,42,89,60,1.67
ID17060209SL062_03w,2003SLEWA013,Deer Creek,44.62176,NULL,46,1.5,,,,
ID17060209SL062_03w,2003SLEWA014,West Fork Deer Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060209SL062_02a,2003SLEWA015,Deer Creek,51.5139,49.58333,40,1.67,55,100,40,2
ID17060209SL062_03,2003SLEWA016,Deer Creek,61.7946,16.78277,74,0,,,,
ID17060209SL064_03,2003SLEWA017,China Creek,NULL,71.08475,75,2.5,NULL,87,75,2.5
ID17060209SL063_03,2003SLEWA018,Eagle Creek,NULL,88.5,81,3,NULL,100,81,3
