"","scientificName","agency","project","relyea_order","relyea_site_count","relyea_taxa_FSBI","relyea_sensitivity_score","source","relyea_note"
"1","Ablabesmyia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"2","Ablabesmyia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"3","Acentrella","BLM","AIM WW OE","E",176,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"4","Acentrella","BLM","AIM PIBO OE","E",176,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"5","Acentrella","USFS","PIBO","E",176,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"6","Acentrella insignificans","USFS","PIBO","E",74,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"7","Acentrella turbida","USFS","PIBO","E",72,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"8","Acerpenna","USFS","PIBO",NA,NA,NA,NA,NA,NA
"9","Actinopterygii","USFS","PIBO",NA,NA,NA,NA,NA,NA
"10","Aeshna","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"11","Aeshna","USFS","PIBO",NA,NA,NA,NA,NA,NA
"12","Aeshna eremita","USFS","PIBO",NA,NA,NA,NA,NA,NA
"13","Aeshna interrupta","USFS","PIBO",NA,NA,NA,NA,NA,NA
"14","Aeshnidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"15","Agabus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"16","Agabus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"17","Agapetus","USFS","PIBO","T",68,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"18","Agapetus","BLM","AIM WW OE","T",68,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"19","Agapetus","BLM","AIM PIBO OE","T",68,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"20","Agathon","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"21","Agathon","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"22","Agathon","USFS","PIBO",NA,NA,NA,NA,NA,NA
"23","Agraylea","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"24","Agraylea","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"25","Agraylea","USFS","PIBO",NA,NA,NA,NA,NA,NA
"26","Allocosmoecus partitus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"27","Allomyia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"28","Alloperla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"29","Alotanypus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"30","Ambrysus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"31","Ambrysus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"32","Ameletus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"33","Ameletus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"34","Ameletus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"35","Ametor","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"36","Ametor","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"37","Ametor","USFS","PIBO",NA,NA,NA,NA,NA,NA
"38","Amiocentrus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"39","Amiocentrus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"40","Amiocentrus aspilus","USFS","PIBO","T",40,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"41","Amiocentrus aspilus","BLM","AIM WW OE","T",40,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"42","Amiocentrus aspilus","BLM","AIM PIBO OE","T",40,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"43","Amphicosmoecus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"44","Amphicosmoecus canax","USFS","PIBO",NA,NA,NA,NA,NA,NA
"45","Amphinemura","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"46","Amphinemura","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"47","Amphinemura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"48","Amphinemura banksi","USFS","PIBO",NA,NA,NA,NA,NA,NA
"49","Amphinemura/Malenka","USFS","PIBO",NA,NA,NA,NA,NA,NA
"50","Amphipoda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"51","Amphizoa","USFS","PIBO",NA,NA,NA,NA,NA,NA
"52","Ampumixis dispar","USFS","PIBO","C",28,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"53","Anacaena","USFS","PIBO",NA,NA,NA,NA,NA,NA
"54","Anagapetus","BLM","AIM WW OE","T",58,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"55","Anagapetus","BLM","AIM PIBO OE","T",58,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"56","Anagapetus","USFS","PIBO","T",58,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"57","Anopheles","USFS","PIBO",NA,NA,NA,NA,NA,NA
"58","Antocha","USFS","PIBO","D",347,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"59","Antocha monticola","USFS","PIBO","D",37,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"60","Antocha monticola","BLM","AIM PIBO OE","D",37,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"61","Antocha monticola","BLM","AIM WW OE","D",37,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"62","Anura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"63","Apatania","BLM","AIM PIBO OE","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"64","Apatania","USFS","PIBO","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"65","Apatania","BLM","AIM WW OE","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"66","Apedilum","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"67","Apedilum","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"68","Aquarius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"69","Archilestes grandis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"70","Arctopsyche","USFS","PIBO","T",199,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"71","Arctopsyche grandis","BLM","AIM PIBO OE","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"72","Arctopsyche grandis","USFS","PIBO","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"73","Arctopsyche grandis","BLM","AIM WW OE","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"74","Arctopsychinae","USFS","PIBO","T",48,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"75","Argia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"76","Argia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"77","Argia vivida","USFS","PIBO",NA,NA,NA,NA,NA,NA
"78","Arrenurus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"79","Arrenurus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"80","Arrenurus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"81","Ascaphus truei","USFS","PIBO",NA,NA,NA,NA,NA,NA
"82","Asellidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"83","Asioplax","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"84","Astacidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"85","Atherix","USFS","PIBO","D",113,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"86","Atherix pachypus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"87","Atherix pachypus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"88","Atherix pachypus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"89","Atractelmis wawona","USFS","PIBO",NA,NA,NA,NA,NA,NA
"90","Atrichopogon","BLM","AIM PIBO OE","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"91","Atrichopogon","USFS","PIBO","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"92","Atrichopogon","BLM","AIM WW OE","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"93","Atrichopogon/Forcipomyia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"94","Attenella","BLM","AIM WW OE","E",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"95","Attenella","USFS","PIBO","E",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"96","Attenella delantala","USFS","PIBO","E",7,10,"moderately fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
