"","scientificName","agency","project","relyea_order","relyea_site_count","relyea_taxa_FSBI","relyea_sensitivity_score","source","relyea_note"
"312","Curculionidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"313","Curculionidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"314","Cymbiodyta","USFS","PIBO",NA,NA,NA,NA,NA,NA
"315","Dasyhelea","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"316","Dasyhelea","USFS","PIBO",NA,NA,NA,NA,NA,NA
"317","Decapoda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"318","Deronectes","USFS","PIBO",NA,NA,NA,NA,NA,NA
"319","Desmona","USFS","PIBO",NA,NA,NA,NA,NA,NA
"320","Desmona mono","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"321","Desmona mono","USFS","PIBO",NA,NA,NA,NA,NA,NA
"322","Despaxia augusta","USFS","PIBO","P",102,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"323","Deuterophlebia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"324","Deuterophlebia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"325","Deuterophlebia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"326","Deuterophlebia coloradensis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"327","Diamesa","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"328","Diamesa","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"329","Diamesa","USFS","PIBO",NA,NA,NA,NA,NA,NA
"330","Diamesinae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"331","Diamesinae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"332","Diamesinae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"333","Dicosmoecus","BLM","AIM PIBO OE","T",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"334","Dicosmoecus","BLM","AIM WW OE","T",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"335","Dicosmoecus","USFS","PIBO","T",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"336","Dicranota","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"337","Dicranota","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"338","Dicranota","USFS","PIBO",NA,NA,NA,NA,NA,NA
"339","Dicrotendipes","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"340","Dicrotendipes","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"341","Dicrotendipes","USFS","PIBO",NA,NA,NA,NA,NA,NA
"342","Dina","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"343","Dina","USFS","PIBO",NA,NA,NA,NA,NA,NA
"344","Dina dubia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"345","Diphetor hageni","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"346","Diphetor hageni","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"347","Diphetor hageni","USFS","PIBO",NA,NA,NA,NA,NA,NA
"348","Diphetor/Fallceon","USFS","PIBO",NA,NA,NA,NA,NA,NA
"349","Diplocladius","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"350","Diplocladius","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"351","Diplocladius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"352","Diptera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"353","Diura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"354","Diura knowltoni","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"355","Diura knowltoni","USFS","PIBO",NA,NA,NA,NA,NA,NA
"356","Dixa","USFS","PIBO",NA,NA,NA,NA,NA,NA
"357","Dixa","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"358","Dixa","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"359","Dixella","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"360","Dixella","USFS","PIBO",NA,NA,NA,NA,NA,NA
"361","Dixidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"362","Dolichopodidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"363","Dolichopodidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"364","Dolichopodidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"365","Dolophilodes","USFS","PIBO","T",118,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"366","Dolophilodes","BLM","AIM WW OE","T",118,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"367","Dolophilodes","BLM","AIM PIBO OE","T",118,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"368","Doroneuria","USFS","PIBO","P",179,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"369","Doroneuria baumanni","USFS","PIBO","P",7,15,"very fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
"370","Doroneuria theodora","BLM","AIM WW OE","P",7,15,"very fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
"371","Doroneuria theodora","BLM","AIM PIBO OE","P",7,15,"very fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
"372","Doroneuria theodora","USFS","PIBO","P",7,15,"very fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
"373","Drunella","USFS","PIBO",NA,NA,NA,NA,NA,NA
"374","Drunella coloradensis","USFS","PIBO","E",187,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"375","Drunella coloradensis","BLM","AIM PIBO OE","E",187,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"376","Drunella coloradensis","BLM","AIM WW OE","E",187,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"377","Drunella coloradensis/flavilinea","BLM","AIM PIBO OE","E",155,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"378","Drunella coloradensis/flavilinea","USFS","PIBO","E",155,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"379","Drunella coloradensis/flavilinea","BLM","AIM WW OE","E",155,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"380","Drunella doddsii","BLM","AIM WW OE","E",499,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"381","Drunella doddsii","USFS","PIBO","E",499,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"382","Drunella doddsii","BLM","AIM PIBO OE","E",499,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"383","Drunella flavilinea","USFS","PIBO",NA,NA,NA,NA,NA,NA
"384","Drunella grandis","BLM","AIM PIBO OE","E",107,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"385","Drunella grandis","USFS","PIBO","E",107,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"386","Drunella grandis","BLM","AIM WW OE","E",107,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"387","Drunella grandis/spinifera","USFS","PIBO","E",132,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"388","Drunella spinifera","USFS","PIBO","E",100,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"389","Drunella spinifera","BLM","AIM PIBO OE","E",100,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"390","Drunella spinifera","BLM","AIM WW OE","E",100,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"391","Dubiraphia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"392","Dubiraphia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"393","Dubiraphia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"394","Dubiraphia vittata","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"395","Dubiraphia vittata","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"396","Dubiraphia vittata","USFS","PIBO",NA,NA,NA,NA,NA,NA
"397","Dytiscidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"398","Ecclisocosmoecus scylla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"399","Ecclisomyia","BLM","AIM WW OE","T",64,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"400","Ecclisomyia","USFS","PIBO","T",64,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"401","Ecclisomyia","BLM","AIM PIBO OE","T",64,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"402","Ecdyonurus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"403","Ecdyonurus criddlei","USFS","PIBO","E",56,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"404","Elmidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"405","Empididae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"406","Empididae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"407","Enallagma","USFS","PIBO",NA,NA,NA,NA,NA,NA
"408","Enallagma","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"409","Enochrus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"410","Eocosmoecus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"411","Ephemera simulans","USFS","PIBO",NA,NA,NA,NA,NA,NA
"412","Ephemera simulans","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"413","Ephemerella","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"414","Ephemerella","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"415","Ephemerella","USFS","PIBO",NA,NA,NA,NA,NA,NA
"416","Ephemerella alleni","USFS","PIBO",NA,NA,NA,NA,NA,NA
"417","Ephemerella aurivillii","USFS","PIBO",NA,NA,NA,NA,NA,NA
"418","Ephemerella dorothea/excrucians","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"419","Ephemerella dorothea/excrucians","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"420","Ephemerella dorothea/excrucians","USFS","PIBO",NA,NA,NA,NA,NA,NA
"421","Ephemerella tibialis","BLM","AIM WW OE","E",370,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"422","Ephemerella tibialis","BLM","AIM PIBO OE","E",370,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"423","Ephemerella tibialis","USFS","PIBO","E",370,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"424","Ephemerellidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"425","Ephemeroptera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"426","Ephydra","USFS","PIBO",NA,NA,NA,NA,NA,NA
"427","Ephydridae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"428","Ephydridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"429","Erpobdellidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"430","Erpobdellidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"431","Eubrianax edwardsii","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"432","Eubrianax edwardsii","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"433","Eubrianax edwardsii","USFS","PIBO",NA,NA,NA,NA,NA,NA
"434","Eucapnopsis brevicauda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"435","Eukiefferiella brehmi group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"436","Eukiefferiella brehmi group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"437","Eukiefferiella brehmi group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"438","Eukiefferiella brevicalcar group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"439","Eukiefferiella brevicalcar group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"440","Eukiefferiella brevicalcar group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"441","Eukiefferiella claripennis group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"442","Eukiefferiella claripennis group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"443","Eukiefferiella claripennis group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"444","Eukiefferiella coerulescens group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"445","Eukiefferiella coerulescens group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"446","Eukiefferiella coerulescens group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"447","Eukiefferiella devonica group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"448","Eukiefferiella devonica group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"449","Eukiefferiella devonica group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"450","Eukiefferiella discoloripes group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"451","Eukiefferiella discoloripes group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"452","Eukiefferiella discoloripes group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"453","Eukiefferiella gracei group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"454","Eukiefferiella gracei group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"455","Eukiefferiella gracei group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"456","Eukiefferiella pseudomontana group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"457","Eukiefferiella pseudomontana group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"458","Eukiefferiella pseudomontana group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"459","Euparyphus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"460","Euparyphus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"461","Eylais","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"462","Eylais","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"463","Eylais","USFS","PIBO",NA,NA,NA,NA,NA,NA
"464","Fallceon","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"465","Fallceon","USFS","PIBO",NA,NA,NA,NA,NA,NA
"466","Fallceon quilleri","USFS","PIBO",NA,NA,NA,NA,NA,NA
"467","Farula","USFS","PIBO",NA,NA,NA,NA,NA,NA
"468","Farula/Neothremma","USFS","PIBO",NA,NA,NA,NA,NA,NA
"469","Ferrissia rivularis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"470","Ferrissia rivularis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"471","Fluminicola","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"472","Fluminicola","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"473","Fluminicola","USFS","PIBO",NA,NA,NA,NA,NA,NA
"474","Forcipomyia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"475","Forcipomyia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"476","Forcipomyia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"477","Gammarus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"478","Gammarus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"479","Gammarus lacustris","USFS","PIBO",NA,NA,NA,NA,NA,NA
"480","Gastropoda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"481","Gerridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"482","Gerris","USFS","PIBO",NA,NA,NA,NA,NA,NA
"483","Glossiphoniidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"484","Glossosoma","USFS","PIBO","T",432,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"485","Glossosoma","BLM","AIM PIBO OE","T",432,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"486","Glossosoma","BLM","AIM WW OE","T",432,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"487","Glossosomatidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"488","Glutops","BLM","AIM WW OE","D",189,5,"slightly fine sediment sensitive","Relyea 2007 Table 4",""
"489","Glutops","USFS","PIBO","D",189,5,"slightly fine sediment sensitive","Relyea 2007 Table 4",""
"490","Glutops","BLM","AIM PIBO OE","D",189,5,"slightly fine sediment sensitive","Relyea 2007 Table 4",""
"491","Gomphidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"492","Gomphidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"493","Gomphus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"494","Gumaga","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"495","Gumaga","USFS","PIBO",NA,NA,NA,NA,NA,NA
"496","Gyraulus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"497","Gyraulus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"498","Gyraulus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"499","Gyraulus circumstriatus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"500","Haliplidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"501","Haliplus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"502","Heleniella","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"503","Heleniella","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"504","Heleniella","USFS","PIBO",NA,NA,NA,NA,NA,NA
"505","Helichus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"506","Helichus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"507","Helicopsyche","USFS","PIBO",NA,NA,NA,NA,NA,NA
"508","Helicopsyche","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"509","Helicopsyche borealis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"510","Helobdella stagnalis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"511","Helobdella stagnalis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"512","Helodon","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"513","Helodon","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"514","Helodon","USFS","PIBO",NA,NA,NA,NA,NA,NA
"515","Helodon onychodactylum group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"516","Helophorus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"517","Helophorus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"518","Helophorus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"519","Hemerodromia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"520","Hemerodromia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"521","Hemerodromia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"522","Hemiptera (terrestrial)","USFS","PIBO",NA,NA,NA,NA,NA,NA
"523","Heptagenia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"524","Heptagenia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"525","Heptageniidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"526","Hesperoconopa","BLM","AIM WW OE","D",50,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"527","Hesperoconopa","USFS","PIBO","D",50,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"528","Hesperoconopa","BLM","AIM PIBO OE","D",50,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"529","Hesperoperla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"530","Hesperoperla pacifica","BLM","AIM WW OE","P",248,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"531","Hesperoperla pacifica","BLM","AIM PIBO OE","P",248,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"532","Hesperoperla pacifica","USFS","PIBO","P",248,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"533","Hesperophylax","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"534","Hesperophylax","USFS","PIBO",NA,NA,NA,NA,NA,NA
"535","Hetaerina americana","USFS","PIBO",NA,NA,NA,NA,NA,NA
"536","Heterelmis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"537","Heterlimnius","USFS","PIBO","C",584,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"538","Heterlimnius","BLM","AIM WW OE","C",584,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"539","Heterlimnius","BLM","AIM PIBO OE","C",584,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"540","Heterlimnius corpulentus","BLM","AIM PIBO OE","C",175,5,"slightly fine sediment sensitive","Relyea 2007 Table 4",""
"541","Heterlimnius corpulentus","USFS","PIBO","C",175,5,"slightly fine sediment sensitive","Relyea 2007 Table 4",""
"542","Heterlimnius corpulentus","BLM","AIM WW OE","C",175,5,"slightly fine sediment sensitive","Relyea 2007 Table 4",""
"543","Heteroptera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"544","Heterotrissocladius marcidus group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"545","Heterotrissocladius marcidus group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"546","Heterotrissocladius marcidus group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"547","Hexatoma","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"548","Hexatoma","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"549","Hexatoma","USFS","PIBO",NA,NA,NA,NA,NA,NA
"550","Hirudinea","USFS","PIBO",NA,NA,NA,NA,NA,NA
"551","Homophylax","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"552","Homophylax","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"553","Homophylax","USFS","PIBO",NA,NA,NA,NA,NA,NA
"554","Hyalella","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"555","Hyalella","USFS","PIBO",NA,NA,NA,NA,NA,NA
"556","Hyalella azteca","USFS","PIBO",NA,NA,NA,NA,NA,NA
"557","Hydraena","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"558","Hydraena","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"559","Hydraena","USFS","PIBO",NA,NA,NA,NA,NA,NA
"560","Hydraenidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"561","Hydridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"562","Hydrobaenus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"563","Hydrobaenus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"564","Hydrobaenus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"565","Hydrobiidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"566","Hydrobiidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"567","Hydrobiidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"568","Hydrobius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"569","Hydrochus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"570","Hydrophilidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"571","Hydroporinae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"572","Hydroporus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"573","Hydropsyche","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"574","Hydropsyche","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"575","Hydropsyche","USFS","PIBO",NA,NA,NA,NA,NA,NA
"576","Hydropsychidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"577","Hydroptila","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"578","Hydroptila","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"579","Hydroptila","USFS","PIBO",NA,NA,NA,NA,NA,NA
"580","Hydroptilidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"581","Hydroptilidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"582","Hydroscaphidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"583","Hydrosmittia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"584","Hydrosmittia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"585","Hydrosmittia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"586","Hydryphantidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"587","Hygrobates","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"588","Hygrobates","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"589","Hygrobates","USFS","PIBO",NA,NA,NA,NA,NA,NA
"590","Hygrobatidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"591","Hygrobatidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"592","Hygrobatidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"593","Hygrotus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"594","Ironodes","BLM","AIM PIBO OE","E",39,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"595","Ironodes","USFS","PIBO","E",39,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"596","Ironodes","BLM","AIM WW OE","E",39,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"597","Ironodes nitidus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"598","Ironodes nitidus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"599","Ischnura","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"600","Ischnura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"601","Isogenoides","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"602","Isogenoides","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"603","Isogenoides","USFS","PIBO",NA,NA,NA,NA,NA,NA
"604","Isoperla","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"605","Isoperla","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"606","Isoperla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"607","Juga bulbosa","USFS","PIBO",NA,NA,NA,NA,NA,NA
"608","Kathroperla","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"609","Kathroperla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"610","Kathroperla perdita","USFS","PIBO",NA,NA,NA,NA,NA,NA
"611","Kathroperla/Paraperla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"612","Kogotus","BLM","AIM PIBO OE","P",39,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"613","Kogotus","USFS","PIBO","P",39,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"614","Kogotus","BLM","AIM WW OE","P",39,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"615","Kogotus/Rickera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"616","Krenosmittia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"617","Krenosmittia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"618","Laccobius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"619","Laccobius","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"620","Lara","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"621","Lara","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"622","Lara","USFS","PIBO",NA,NA,NA,NA,NA,NA
"623","Lara avara","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"624","Lara avara","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"625","Lara avara","USFS","PIBO",NA,NA,NA,NA,NA,NA
