"","scientificName","agency","project","relyea_order","relyea_site_count","relyea_taxa_FSBI","relyea_sensitivity_score","source","relyea_note"
"70","Apatania","BLM","AIM PIBO OE","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"71","Apatania","BLM","AIM WW OE","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"72","Apedilum","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"73","Apedilum","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"74","Apedilum","USFS","PIBO",NA,NA,NA,NA,NA,NA
"75","Aquarius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"76","Archilestes grandis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"77","Arctopsyche","USFS","PIBO","T",199,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"78","Arctopsyche grandis","USFS","PIBO","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"79","Arctopsyche grandis","BLM","AIM WW OE","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"80","Arctopsyche grandis","BLM","AIM PIBO OE","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"81","Arctopsychinae","USFS","PIBO","T",48,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"82","Argia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"83","Argia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"84","Argia vivida","USFS","PIBO",NA,NA,NA,NA,NA,NA
"85","Arrenurus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"86","Arrenurus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"87","Arrenurus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"88","Ascaphus truei","USFS","PIBO",NA,NA,NA,NA,NA,NA
"89","Asellidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"90","Asioplax","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"91","Asioplax","USFS","PIBO",NA,NA,NA,NA,NA,NA
"92","Astacidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"93","Astacidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"94","Athericidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"95","Atherix","USFS","PIBO","D",113,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"96","Atherix pachypus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"97","Atherix pachypus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"98","Atherix pachypus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"99","Atractelmis wawona","USFS","PIBO",NA,NA,NA,NA,NA,NA
"100","Atrichopogon","BLM","AIM PIBO OE","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"101","Atrichopogon","BLM","AIM WW OE","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"102","Atrichopogon","USFS","PIBO","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"103","Atrichopogon/Forcipomyia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"104","Attenella","USFS","PIBO","E",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"105","Attenella","BLM","AIM WW OE","E",95,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"106","Attenella delantala","USFS","PIBO","E",7,10,"moderately fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
"107","Attenella delantala","BLM","AIM WW OE","E",7,10,"moderately fine sediment sensitive","Relyea 2007 Table 4","n-size too small, therefore species occurrence value is the same as genus occurrence value"
"108","Attenella margarita","USFS","PIBO","E",50,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"109","Baetidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"110","Baetis","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"111","Baetis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"112","Baetis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"113","Baetis bicaudatus","USFS","PIBO","E",324,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"114","Baetis tricaudatus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"115","Berosus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"116","Berosus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"117","Bezzia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"118","Bezzia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"119","Bezzia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"120","Bezzia/Probezzia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"121","Bibiocephala","USFS","PIBO",NA,NA,NA,NA,NA,NA
"122","Bibiocephala grandis","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"123","Bibiocephala grandis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"124","Bibiocephala grandis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"125","Bidessini","USFS","PIBO",NA,NA,NA,NA,NA,NA
"126","Blepharicera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"127","Blepharicera","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"128","Blephariceridae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"129","Blephariceridae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"130","Blephariceridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"131","Boreoheptagyia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"132","Boreoheptagyia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"133","Boreoheptagyia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"134","Brachycentridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"135","Brachycentrus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"136","Brachycentrus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"137","Brachycentrus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"138","Brachycentrus americanus","BLM","AIM WW OE","T",191,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"139","Brachycentrus americanus","BLM","AIM PIBO OE","T",191,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"140","Brachycentrus americanus","USFS","PIBO","T",191,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"141","Brachycentrus occidentalis","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"142","Brachycentrus occidentalis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"143","Brachycentrus occidentalis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"144","Brillia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"145","Brillia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"146","Brillia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"147","Brychius","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"148","Brychius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"149","Bryelmis idahoensis","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"150","Bryelmis idahoensis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"151","Caecidotea","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"152","Caecidotea","USFS","PIBO",NA,NA,NA,NA,NA,NA
"153","Caenis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"154","Caenis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"155","Caenis latipennis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"156","Calineuria","USFS","PIBO",NA,NA,NA,NA,NA,NA
"157","Calineuria californica","BLM","AIM PIBO OE","P",160,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"158","Calineuria californica","BLM","AIM WW OE","P",160,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"159","Calineuria californica","USFS","PIBO","P",160,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"160","Callibaetis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"161","Callibaetis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"162","Callicorixa audeni","USFS","PIBO",NA,NA,NA,NA,NA,NA
"163","Caloparyphus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"164","Caloparyphus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"165","Calopterygidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"166","Calopterygidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"167","Cambaridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"168","Cambaridae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"169","Capnia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"170","Capniidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"171","Capniidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"172","Capniidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"173","Capniidae/Leuctridae","USFS","PIBO",NA,NA,NA,NA,NA,NA
